Código;Nombre;Marca;Nombre marca;Familia;Nombre familia;;;;;;;;;
029;COSTILLA ADOBADA SECA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0293;COSTILLA DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0292;COSTILLA FRESCA ADOBADA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0291;COSTILLAS CERDO FRESCAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
4100001;CRESTAS;;;AAAA9;-9-AVES;;;;;;;;;
345;CROQUETAS VARIAS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
219;DELICIA DE CANGREJO;;;AA003;-003-FIAMBRES;;;;;;;;;
220;DELICIA DE GAMBA;;;AA003;-003-FIAMBRES;;;;;;;;;
221;DELICIA DE SALMON;;;AA003;-003-FIAMBRES;;;;;;;;;
1002;ELABORA AVES;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
1001;ELABORA PORCINO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
212;ESPINAZO CERDO FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
10006;ESTUCHE COCKIES CHOCO CHIP 125 GRS GULLON;;;AA004;-004-VARIOS;;;;;;;;;
10002;ESTUCHE PEÑAMONTE 3 BOTELLAS;;;AA004;-004-VARIOS;;;;;;;;;
205;FIAMBRE III 11X11;;;AA003;-003-FIAMBRES;;;;;;;;;
108;FILETES TERNERA PRIMERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
250;FILM TRANSPARENTE;;;AA004;-004-VARIOS;;;;;;;;;
130;FRITONGOS;;;AA004;-004-VARIOS;;;;;;;;;
999;FUNDA BLANCA;;;AA004;-004-VARIOS;;;;;;;;;
998;FUNDA NEGRA;;;AA004;-004-VARIOS;;;;;;;;;
10008;GALLINAS;;;AAAA9;-9-AVES;;;;;;;;;
0341;GALON QUESO OVEJA ACEITE;;;AA005;-005-QUESOS;;;;;;;;;
2;GASTOS DE ENVIO;;;00001;Familia de Servicios;;;;;;;;;
2001;GRASA;;;AA004;-004-VARIOS;;;;;;;;;
318;HAMBURGUESAS EXTRAS;;;AA004;-004-VARIOS;;;;;;;;;
124;HIGADO CERDO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
1240;HIGADO DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
2002;HUESO;;;AA004;-004-VARIOS;;;;;;;;;
HUEVOS;HUEVOS;;;AA004;-004-VARIOS;;;;;;;;;
5000007;HUEVOS DE CODORNIZ;;;AAAA9;-9-AVES;;;;;;;;;
153;JAMON BELLOTA IBERICO ETIQUETA NEGRA 100 %;;;AA002;-002-EMBUTIDOS;;;;;;;;;
014;JAMON BELLOTA IBERICO ETIQUETA ROJA;;;AA006;-006-JAMONES;;;;;;;;;
012;JAMON BODEGA;;;AA006;-006-JAMONES;;;;;;;;;
011;JAMON BODEGA MATANZA;;;AA006;-006-JAMONES;;;;;;;;;
2031;JAMON C.PREMIER BRASEADO ARGAL;;;AA003;-003-FIAMBRES;;;;;;;;;
200;JAMON CEBO DE CAMPO IBERICO ETIQ. VERDE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
013;JAMON CEBO IBERICO ETIQUETA BLANCA;;;AA006;-006-JAMONES;;;;;;;;;
LOTE SOF7;JAMON CEBO IBERICO OFERTA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
203;JAMON COCIDO ARTESANO ARGAL;;;AA003;-003-FIAMBRES;;;;;;;;;
134;JAMON CURADO 16 MESES;;;AA004;-004-VARIOS;;;;;;;;;
2061;JAMON DE PAVO;;;AA003;-003-FIAMBRES;;;;;;;;;
20;JAMON FRESCO;;;AA006;-006-JAMONES;;;;;;;;;
22;JAMON FRESCO REDONDO;;;AA006;-006-JAMONES;;;;;;;;;
0141;JAMON IBERICO CERDA;;;AA006;-006-JAMONES;;;;;;;;;
010;JAMON SERRANO;;;AA006;-006-JAMONES;;;;;;;;;
149;JAMON SERRANO OFERTA S/P;;;AA002;-002-EMBUTIDOS;;;;;;;;;
152;JAMON SERRANO OFERTA/UNIDAD;;;AA002;-002-EMBUTIDOS;;;;;;;;;
1311;JUDIAS VERDES 1K(24U);;;AA011;-011-CONSERVAS;;;;;;;;;
16;LACON ARTESANO S/H;;;AA003;-003-FIAMBRES;;;;;;;;;
150;LECHAZO;;;AA004;-004-VARIOS;;;;;;;;;
500;LEGUMBRES;;;AA004;-004-VARIOS;;;;;;;;;
125;LENGUA DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
00010;LENGUA GUISADA;;;AA008;-008-PRECOCINADOS;;;;;;;;;
119;LENGUAS DE CERDO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0153;LENGUAS IBERICAS;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0155;LENGUAS IBERICAS UNIDAD;;;AA002;-002-EMBUTIDOS;;;;;;;;;
023;LOMITO BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
025;LOMO BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
024;LOMO CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0211;LOMO CERDO FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
020;LOMO CON TRIPA EMBUCHADO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
120;LOMO FRESCO ADOBADO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0260;LOMO IBERICO PROMOCION;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0201;LOMO M/C;;;AA002;-002-EMBUTIDOS;;;;;;;;;
201;LOMO SAJONIA;;;AA003;-003-FIAMBRES;;;;;;;;;
021;LOMO SIN TRIPA CASERO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0203;LOMO TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
26;LONCHAS CABECERO DE LOMO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
10;LONCHAS CECINA DE VACA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
11;LONCHAS CHORIZO CULAR BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
23;LONCHAS CHORIZO CULAR CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
27;LONCHAS CHORIZO CULAR SERRANO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
17;LONCHAS JAMON BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
7;LONCHAS JAMON BODEGA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
15;LONCHAS JAMON CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
13;LONCHAS LOMO BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
18;LONCHAS LOMO CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
8;LONCHAS LOMO EMBUCHADO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
14;LONCHAS PALETA BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
00015;LONCHAS PALETA CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
9;LONCHAS PANCETA ADOBADA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
12;LONCHAS SALCHICHON CULAR BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
19;LONCHAS SALCHICHON CULAR CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
28;LONCHAS SALCHICHON CULAR SERRANO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
LOTE SOF16;LOTE SOFTORO 16;;;00001;Familia de Servicios;;;;;;;;;
00003;MAGRO CONG.;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0021;MAGRO DE MATANZAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
00004;MAGRO INC FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
317;MANILLAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
208;MANTECA MINI CAMPOFRIO;;;AA008;-008-PRECOCINADOS;;;;;;;;;
320;MANTEQUILLA EN PORCIONES;;;AA004;-004-VARIOS;;;;;;;;;
